LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
EU27_2020,HUR,WOMEN,PC_LF,Q,2006-Q3,9.566667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2006-Q4,9.166667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2007-Q1,8.866667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2007-Q2,8.5,
EU27_2020,HUR,WOMEN,PC_LF,Q,2007-Q3,8.3,
EU27_2020,HUR,WOMEN,PC_LF,Q,2007-Q4,8.133333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2008-Q1,7.9,
EU27_2020,HUR,WOMEN,PC_LF,Q,2008-Q2,7.933333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2008-Q3,7.933333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2008-Q4,8.2,
EU27_2020,HUR,WOMEN,PC_LF,Q,2009-Q1,9,
EU27_2020,HUR,WOMEN,PC_LF,Q,2009-Q2,9.366667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2009-Q3,9.6,
EU27_2020,HUR,WOMEN,PC_LF,Q,2009-Q4,9.833333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2010-Q1,10.16667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2010-Q2,10.23333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2010-Q3,10.16667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2010-Q4,10.23333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2011-Q1,10.16667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2011-Q2,10.13333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2011-Q3,10.33333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2011-Q4,10.6,
EU27_2020,HUR,WOMEN,PC_LF,Q,2012-Q1,10.83333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2012-Q2,11.1,
EU27_2020,HUR,WOMEN,PC_LF,Q,2012-Q3,11.3,
EU27_2020,HUR,WOMEN,PC_LF,Q,2012-Q4,11.56667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2013-Q1,11.8,
EU27_2020,HUR,WOMEN,PC_LF,Q,2013-Q2,11.8,
EU27_2020,HUR,WOMEN,PC_LF,Q,2013-Q3,11.63333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2013-Q4,11.66667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2014-Q1,11.43333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2014-Q2,11.23333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2014-Q3,11.1,
EU27_2020,HUR,WOMEN,PC_LF,Q,2014-Q4,11,
EU27_2020,HUR,WOMEN,PC_LF,Q,2015-Q1,10.73333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2015-Q2,10.46667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2015-Q3,10.13333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2015-Q4,10.03333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2016-Q1,9.833333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2016-Q2,9.666667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2016-Q3,9.433333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2016-Q4,9.2,
EU27_2020,HUR,WOMEN,PC_LF,Q,2017-Q1,9,
EU27_2020,HUR,WOMEN,PC_LF,Q,2017-Q2,8.633333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2017-Q3,8.5,
EU27_2020,HUR,WOMEN,PC_LF,Q,2017-Q4,8.233334,
EU27_2020,HUR,WOMEN,PC_LF,Q,2018-Q1,8.066667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2018-Q2,7.766667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2018-Q3,7.533333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2018-Q4,7.5,
EU27_2020,HUR,WOMEN,PC_LF,Q,2019-Q1,7.433333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2019-Q2,7.166667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2019-Q3,7.033333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2019-Q4,7.033333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2020-Q1,6.933333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2020-Q2,7.233333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2020-Q3,8.1,
EU27_2020,HUR,WOMEN,PC_LF,Q,2020-Q4,7.9,
EU27_2020,HUR,WOMEN,PC_LF,Q,2021-Q1,7.866667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2021-Q2,7.733333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2021-Q3,7.166667,
EU27_2020,HUR,WOMEN,PC_LF,Q,2021-Q4,6.733333,
EU27_2020,HUR,WOMEN,PC_LF,Q,2022-Q1,6.6,
G-7,HUR,MEN,PC_LF,A,1991,6.061573,E
G-7,HUR,MEN,PC_LF,A,1992,6.782597,E
G-7,HUR,MEN,PC_LF,A,1993,6.95403,E
G-7,HUR,MEN,PC_LF,A,1994,6.705806,E
G-7,HUR,MEN,PC_LF,A,1995,6.379275,E
G-7,HUR,MEN,PC_LF,A,1996,6.480668,E
G-7,HUR,MEN,PC_LF,A,1997,6.212781,E
G-7,HUR,MEN,PC_LF,A,1998,6.056386,E
G-7,HUR,MEN,PC_LF,A,1999,5.858061,E
G-7,HUR,MEN,PC_LF,A,2000,5.43696,E
G-7,HUR,MEN,PC_LF,A,2001,5.783218,E
G-7,HUR,MEN,PC_LF,A,2002,6.450226,E
G-7,HUR,MEN,PC_LF,A,2003,6.693382,E
G-7,HUR,MEN,PC_LF,A,2004,6.372878,E
G-7,HUR,MEN,PC_LF,A,2005,6.148415,E
G-7,HUR,MEN,PC_LF,A,2006,5.73754,E
G-7,HUR,MEN,PC_LF,A,2007,5.364394,E
G-7,HUR,MEN,PC_LF,A,2008,5.899105,E
G-7,HUR,MEN,PC_LF,A,2009,8.483523,E
G-7,HUR,MEN,PC_LF,A,2010,8.581386,E
G-7,HUR,MEN,PC_LF,A,2011,7.825626,E
G-7,HUR,MEN,PC_LF,A,2012,7.453794,E
G-7,HUR,MEN,PC_LF,A,2013,7.274207,E
G-7,HUR,MEN,PC_LF,A,2014,6.471079,E
G-7,HUR,MEN,PC_LF,A,2015,5.929863,E
G-7,HUR,MEN,PC_LF,A,2016,5.538699,E
G-7,HUR,MEN,PC_LF,A,2017,5.01947,E
G-7,HUR,MEN,PC_LF,A,2018,4.577601,E
G-7,HUR,MEN,PC_LF,A,2019,4.329328,E
G-7,HUR,MEN,PC_LF,A,2020,6.388138,E
G-7,HUR,MEN,PC_LF,A,2021,5.307436,E
G-7,HUR,WOMEN,PC_LF,A,1991,6.769122,E
G-7,HUR,WOMEN,PC_LF,A,1992,7.325567,E
G-7,HUR,WOMEN,PC_LF,A,1993,7.551199,E
G-7,HUR,WOMEN,PC_LF,A,1994,7.420403,E
G-7,HUR,WOMEN,PC_LF,A,1995,7.204972,E
G-7,HUR,WOMEN,PC_LF,A,1996,7.148448,E
G-7,HUR,WOMEN,PC_LF,A,1997,6.98672,E
G-7,HUR,WOMEN,PC_LF,A,1998,6.78722,E
G-7,HUR,WOMEN,PC_LF,A,1999,6.488277,E
G-7,HUR,WOMEN,PC_LF,A,2000,6.026736,E
G-7,HUR,WOMEN,PC_LF,A,2001,6.048963,E
G-7,HUR,WOMEN,PC_LF,A,2002,6.519622,E
G-7,HUR,WOMEN,PC_LF,A,2003,6.585713,E
G-7,HUR,WOMEN,PC_LF,A,2004,6.434905,E
G-7,HUR,WOMEN,PC_LF,A,2005,6.313101,E
G-7,HUR,WOMEN,PC_LF,A,2006,5.912005,E
G-7,HUR,WOMEN,PC_LF,A,2007,5.489071,E
G-7,HUR,WOMEN,PC_LF,A,2008,5.781099,E
G-7,HUR,WOMEN,PC_LF,A,2009,7.360747,E
G-7,HUR,WOMEN,PC_LF,A,2010,7.590127,E
G-7,HUR,WOMEN,PC_LF,A,2011,7.377449,E
G-7,HUR,WOMEN,PC_LF,A,2012,7.243464,E
G-7,HUR,WOMEN,PC_LF,A,2013,6.866864,E
G-7,HUR,WOMEN,PC_LF,A,2014,6.253699,E
G-7,HUR,WOMEN,PC_LF,A,2015,5.630685,E
G-7,HUR,WOMEN,PC_LF,A,2016,5.321349,E
G-7,HUR,WOMEN,PC_LF,A,2017,4.906092,E
G-7,HUR,WOMEN,PC_LF,A,2018,4.472253,E
G-7,HUR,WOMEN,PC_LF,A,2019,4.184494,E
G-7,HUR,WOMEN,PC_LF,A,2020,6.540719,E
G-7,HUR,WOMEN,PC_LF,A,2021,5.081611,E
G-7,HUR,MEN,PC_LF,Q,1991-Q1,5.82853,E
G-7,HUR,MEN,PC_LF,Q,1991-Q2,6.006182,E
G-7,HUR,MEN,PC_LF,Q,1991-Q3,6.14813,E
G-7,HUR,MEN,PC_LF,Q,1991-Q4,6.271983,E
G-7,HUR,MEN,PC_LF,Q,1992-Q1,6.528613,E
G-7,HUR,MEN,PC_LF,Q,1992-Q2,6.773431,E
G-7,HUR,MEN,PC_LF,Q,1992-Q3,6.891604,E
G-7,HUR,MEN,PC_LF,Q,1992-Q4,6.923886,E
G-7,HUR,MEN,PC_LF,Q,1993-Q1,6.890956,E
G-7,HUR,MEN,PC_LF,Q,1993-Q2,6.995284,E
G-7,HUR,MEN,PC_LF,Q,1993-Q3,6.982702,E
G-7,HUR,MEN,PC_LF,Q,1993-Q4,6.961591,E
G-7,HUR,MEN,PC_LF,Q,1994-Q1,6.962873,E
G-7,HUR,MEN,PC_LF,Q,1994-Q2,6.757144,E
G-7,HUR,MEN,PC_LF,Q,1994-Q3,6.656496,E
G-7,HUR,MEN,PC_LF,Q,1994-Q4,6.404751,E
G-7,HUR,MEN,PC_LF,Q,1995-Q1,6.289775,E
